OfficiCardNo	OfficiCardType	status	VehPlate	FreeType	FreeRoadList	Version	StartTime	EndTime	Spare
000851	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000877	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000885	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000893	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000901	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000919	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000927	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000935	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000943	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000950	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000968	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000976	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
000992	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001008	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001016	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001032	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001057	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001065	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001073	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001081	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001099	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001107	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001131	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001149	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001156	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001172	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001198	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001206	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001214	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001248	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001263	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001271	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001289	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001297	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001305	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001313	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001321	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
001339	1	1		0		351	2014-12-12 00:00:00.000	2010-09-30 23:59:59.000	
