EnRoadId	EnStationId	ExRoadId	ExStationId	VehType	PassType	PassRoadUniqueId	RoadUniqueIdForBridge	PassBridgeId	Miles	Distance	Version	RoadStdVer	BridgeExtVer	TravelTime	StartTime	Spare1	Spare2	Spare3	Spare4
5	10	49	14	2	1	29	0	0	32.5239	46.1439	13	13	13	0	2016-04-28 00:00:00				
5	11	49	14	2	1	2	0	0	3.821	45.4329	13	13	13	0	2016-04-28 00:00:00				
5	11	49	14	2	1	4	0	0	0.712	45.4329	13	13	13	0	2016-04-28 00:00:00				
5	11	49	14	2	1	29	0	0	32.3759	45.4329	13	13	13	0	2016-04-28 00:00:00				
5	11	49	14	2	1	42	0	0	8.524	45.4329	13	13	13	0	2016-04-28 00:00:00				
5	12	49	14	2	1	2	0	0	159.157	204.8009	13	13	13	0	2016-04-28 00:00:00				
5	12	49	14	2	1	13	0	0	13.12	204.8009	13	13	13	0	2016-04-28 00:00:00				
5	12	49	14	2	1	29	0	0	32.5239	204.8009	13	13	13	0	2016-04-28 00:00:00				
6	34	49	14	2	1	3	0	0	59.79	528.9853	13	13	13	0	2016-04-28 00:00:00				
6	34	49	14	2	1	5	0	0	158.697	528.9853	13	13	13	0	2016-04-28 00:00:00				
6	34	49	14	2	1	6	0	0	101.6327	528.9853	13	13	13	0	2016-04-28 00:00:00				
6	34	49	14	2	1	9	0	0	40.742	528.9853	13	13	13	0	2016-04-28 00:00:00				
6	34	49	14	2	1	21	0	0	23.164	528.9853	13	13	13	0	2016-04-28 00:00:00				
6	34	49	14	2	1	27	0	0	73.083	528.9853	13	13	13	0	2016-04-28 00:00:00				
6	34	49	14	2	1	29	0	0	9.227	528.9853	13	13	13	0	2016-04-28 00:00:00				
6	34	49	14	2	1	43	0	0	11.348	528.9853	13	13	13	0	2016-04-28 00:00:00				
6	34	49	14	2	1	61	0	0	51.3016	528.9853	13	13	13	0	2016-04-28 00:00:00				
6	34	49	14	2	2	0	3	1	1	528.9853	13	13	13	0	2016-04-28 00:00:00				
